			LL DEFAULT	LR DEFAULT
1112.	 45.4 	 C3 - 3.0 mA	 C3 - 4.5 mA 	 (0.99 / 0.93) 
1113.	 45.0 	 C0 - 5.0 mA	 C3 - 5.5 mA 	 (0.90 / 0.91) 
1114.	 44.7 	 C2 - 1.5 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
1115.	 44.7 	 C1 - 3.0 mA	 C3 - 3.5 mA 	 (1.00 / 0.96) 
1116.	 44.3 	 C3 - 2.5 mA	 C3 - 4.0 mA 	 (1.00 / 0.95) 
1117.	 44.3 	 C0 - 4.0 mA	 C3 - 4.0 mA 	 (0.93 / 0.95) 
1118.	 44.0 	 C2 - 3.5 mA	 C3 - 4.5 mA 	 (1.00 / 0.93) 
1119.	 43.9 	 C0 - 4.5 mA	 C3 - 4.5 mA 	 (0.92 / 0.93) 
1120.	 43.8 	 C3 - 3.0 mA	 C3 - 5.0 mA 	 (0.99 / 0.92) 
1121.	 43.8 	 C1 - 4.0 mA	 C3 - 5.5 mA 	 (1.00 / 0.91) 
1122.	 43.4 	 C1 - 2.0 mA	 C3 - 3.0 mA 	 (1.00 / 0.97) 
1123.	 43.4 	 C1 - 2.5 mA	 C3 - 3.5 mA 	 (1.00 / 0.96) 
1124.	 43.2 	 C1 - 1.5 mA	 C2 - 4.0 mA 	 (1.00 / 1.00) 
1125.	 43.0 	 C1 - 1.5 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
1126.	 42.9 	 C1 - 3.5 mA	 C3 - 4.5 mA 	 (1.00 / 0.93) 
1127.	 42.4 	 C3 - 2.0 mA	 C3 - 3.5 mA 	 (1.00 / 0.96) 
1128.	 42.3 	 C2 - 3.5 mA	 C3 - 5.0 mA 	 (1.00 / 0.92) 
1129.	 42.1 	 C1 - 3.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.95) 
1130.	 42.1 	 C3 - 3.0 mA	 C3 - 5.5 mA 	 (0.99 / 0.91) 
1131.	 42.1 	 C2 - 2.5 mA	 C2 - 2.5 mA 	 (1.00 / 1.00) 
1132.	 42.0 	 C0 - 4.5 mA	 C3 - 5.0 mA 	 (0.92 / 0.92) 
1133.	 41.8 	 C0 - 3.0 mA	 C2 - 4.0 mA 	 (0.97 / 1.00) 
1134.	 41.8 	 C0 - 2.0 mA	 C1 - 1.5 mA 	 (0.99 / 1.00) 
1135.	 41.7 	 C0 - 3.5 mA	 C3 - 3.0 mA 	 (0.95 / 0.97) 
1136.	 41.7 	 C0 - 3.0 mA	 C2 - 1.5 mA 	 (0.97 / 1.00) 
1137.	 41.3 	 C2 - 3.0 mA	 C3 - 3.5 mA 	 (1.00 / 0.96) 
1138.	 41.2 	 C2 - 1.5 mA	 C2 - 4.0 mA 	 (1.00 / 1.00) 
1139.	 41.2 	 C1 - 3.5 mA	 C3 - 5.0 mA 	 (1.00 / 0.92) 
1140.	 41.1 	 C3 - 1.5 mA	 C3 - 3.5 mA 	 (1.00 / 0.96) 
1141.	 41.1 	 C3 - 2.5 mA	 C3 - 4.5 mA 	 (1.00 / 0.93) 
1142.	 40.6 	 C0 - 1.5 mA	 C1 - 1.5 mA 	 (0.99 / 1.00) 
1143.	 40.5 	 C1 - 2.5 mA	 C3 - 4.0 mA 	 (1.00 / 0.95) 
1144.	 40.5 	 C2 - 2.0 mA	 C2 - 4.5 mA 	 (1.00 / 1.00) 
1145.	 40.5 	 C2 - 2.5 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
1146.	 40.4 	 C2 - 2.0 mA	 C2 - 5.0 mA 	 (1.00 / 1.00) 
1147.	 40.4 	 C0 - 4.0 mA	 C3 - 4.5 mA 	 (0.93 / 0.93) 
1148.	 40.4 	 C2 - 3.5 mA	 C3 - 5.5 mA 	 (1.00 / 0.91) 
1149.	 40.3 	 C2 - 2.0 mA	 C3 - 2.5 mA 	 (1.00 / 0.99) 
1150.	 40.2 	 C2 - 2.5 mA	 C3 - 3.0 mA 	 (1.00 / 0.97) 
1151.	 39.9 	 C0 - 4.5 mA	 C3 - 5.5 mA 	 (0.92 / 0.91) 
1152.	 39.8 	 C3 - 2.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.95) 
1153.	 39.4 	 C1 - 3.5 mA	 C3 - 5.5 mA 	 (1.00 / 0.91) 
1154.	 39.3 	 C3 - 2.5 mA	 C3 - 5.0 mA 	 (1.00 / 0.92) 
1155.	 38.7 	 C2 - 2.0 mA	 C2 - 5.5 mA 	 (1.00 / 1.00) 
1156.	 38.7 	 C2 - 3.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.95) 
1157.	 38.7 	 C1 - 3.0 mA	 C3 - 4.5 mA 	 (1.00 / 0.93) 
1158.	 38.5 	 C0 - 4.0 mA	 C3 - 5.0 mA 	 (0.93 / 0.92) 
1159.	 38.4 	 C0 - 3.0 mA	 C2 - 5.0 mA 	 (0.97 / 1.00) 
1160.	 38.4 	 C0 - 2.5 mA	 C3 - 2.0 mA 	 (0.98 / 1.00) 
1161.	 38.4 	 C0 - 2.0 mA	 C3 - 1.5 mA 	 (0.99 / 1.00) 
1162.	 38.1 	 C2 - 1.5 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
1163.	 38.0 	 C3 - 1.5 mA	 C3 - 4.0 mA 	 (1.00 / 0.95) 
1164.	 37.9 	 C1 - 2.0 mA	 C3 - 3.5 mA 	 (1.00 / 0.96) 
1165.	 37.7 	 C0 - 3.0 mA	 C3 - 2.5 mA 	 (0.97 / 0.99) 
1166.	 37.5 	 C3 - 2.5 mA	 C3 - 5.5 mA 	 (1.00 / 0.91) 
1167.	 37.4 	 C0 - 3.0 mA	 C2 - 4.5 mA 	 (0.97 / 1.00) 
1168.	 37.4 	 C0 - 3.0 mA	 C2 - 5.5 mA 	 (0.97 / 1.00) 
1169.	 37.1 	 C2 - 2.0 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
1170.	 36.9 	 C1 - 3.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.92) 
1171.	 36.8 	 C0 - 3.5 mA	 C3 - 3.5 mA 	 (0.95 / 0.96) 
1172.	 36.6 	 C1 - 2.5 mA	 C3 - 4.5 mA 	 (1.00 / 0.93) 
1173.	 36.5 	 C0 - 1.5 mA	 C3 - 1.5 mA 	 (0.99 / 1.00) 
1174.	 36.4 	 C0 - 4.0 mA	 C3 - 5.5 mA 	 (0.93 / 0.91) 
1175.	 36.3 	 C1 - 1.5 mA	 C3 - 2.5 mA 	 (1.00 / 0.99) 
1176.	 36.1 	 C3 - 2.0 mA	 C3 - 4.5 mA 	 (1.00 / 0.93) 
1177.	 35.6 	 C2 - 2.5 mA	 C3 - 3.5 mA 	 (1.00 / 0.96) 
1178.	 35.5 	 C1 - 1.5 mA	 C2 - 4.5 mA 	 (1.00 / 1.00) 
1179.	 35.1 	 C2 - 3.0 mA	 C3 - 4.5 mA 	 (1.00 / 0.93) 
1180.	 34.9 	 C1 - 3.0 mA	 C3 - 5.5 mA 	 (1.00 / 0.91) 
1181.	 34.6 	 C1 - 2.5 mA	 C3 - 5.0 mA 	 (1.00 / 0.92) 
1182.	 34.6 	 C1 - 2.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.95) 
1183.	 34.5 	 C2 - 1.5 mA	 C3 - 2.5 mA 	 (1.00 / 0.99) 
1184.	 34.5 	 C1 - 1.5 mA	 C2 - 5.0 mA 	 (1.00 / 1.00) 
1185.	 34.2 	 C3 - 2.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.92) 
1186.	 34.0 	 C0 - 3.5 mA	 C3 - 4.0 mA 	 (0.95 / 0.95) 
1187.	 34.0 	 C2 - 1.5 mA	 C2 - 4.5 mA 	 (1.00 / 1.00) 
1188.	 33.7 	 C3 - 1.5 mA	 C3 - 4.5 mA 	 (1.00 / 0.93) 
1189.	 33.7 	 C2 - 2.0 mA	 C2 - 3.5 mA 	 (1.00 / 1.00) 
1190.	 33.4 	 C2 - 2.0 mA	 C3 - 3.0 mA 	 (1.00 / 0.97) 
1191.	 33.2 	 C2 - 3.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.92) 
1192.	 32.7 	 C2 - 2.5 mA	 C3 - 4.0 mA 	 (1.00 / 0.95) 
1193.	 32.5 	 C1 - 2.5 mA	 C3 - 5.5 mA 	 (1.00 / 0.91) 
1194.	 32.4 	 C2 - 1.5 mA	 C2 - 5.0 mA 	 (1.00 / 1.00) 
1195.	 32.2 	 C3 - 2.0 mA	 C3 - 5.5 mA 	 (1.00 / 0.91) 
1196.	 32.2 	 C0 - 3.0 mA	 C2 - 2.0 mA 	 (0.97 / 1.00) 
1197.	 32.1 	 C1 - 1.5 mA	 C2 - 5.5 mA 	 (1.00 / 1.00) 
1198.	 31.6 	 C3 - 1.5 mA	 C3 - 5.0 mA 	 (1.00 / 0.92) 
1199.	 31.2 	 C2 - 3.0 mA	 C3 - 5.5 mA 	 (1.00 / 0.91) 
1200.	 31.0 	 C0 - 3.0 mA	 C3 - 3.0 mA 	 (0.97 / 0.97) 
1201.	 30.0 	 C0 - 3.5 mA	 C3 - 4.5 mA 	 (0.95 / 0.93) 
1202.	 30.0 	 C1 - 2.0 mA	 C3 - 4.5 mA 	 (1.00 / 0.93) 
1203.	 29.9 	 C2 - 1.5 mA	 C2 - 5.5 mA 	 (1.00 / 1.00) 
1204.	 29.8 	 C0 - 3.0 mA	 C2 - 3.5 mA 	 (0.97 / 1.00) 
1205.	 29.7 	 C0 - 2.5 mA	 C3 - 2.5 mA 	 (0.98 / 0.99) 
1206.	 29.3 	 C3 - 1.5 mA	 C3 - 5.5 mA 	 (1.00 / 0.91) 
1207.	 29.2 	 C1 - 1.5 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
1208.	 28.9 	 C0 - 2.0 mA	 C3 - 2.0 mA 	 (0.99 / 1.00) 
1209.	 28.8 	 C2 - 2.5 mA	 C3 - 4.5 mA 	 (1.00 / 0.93) 
1210.	 28.3 	 C0 - 3.5 mA	 C3 - 5.0 mA 	 (0.95 / 0.92) 
1211.	 28.1 	 C2 - 2.0 mA	 C3 - 3.5 mA 	 (1.00 / 0.96) 
1212.	 27.9 	 C2 - 1.5 mA	 C2 - 3.5 mA 	 (1.00 / 1.00) 
1213.	 27.9 	 C1 - 1.5 mA	 C3 - 3.0 mA 	 (1.00 / 0.97) 
1214.	 27.7 	 C1 - 2.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.92) 
1215.	 27.3 	 C1 - 1.5 mA	 C2 - 3.5 mA 	 (1.00 / 1.00) 
1216.	 27.2 	 C2 - 2.0 mA	 C2 - 2.5 mA 	 (1.00 / 1.00) 
1217.	 26.8 	 C2 - 2.5 mA	 C3 - 5.0 mA 	 (1.00 / 0.92) 
1218.	 26.4 	 C0 - 2.5 mA	 C2 - 4.0 mA 	 (0.98 / 1.00) 
1219.	 26.3 	 C2 - 1.5 mA	 C3 - 3.0 mA 	 (1.00 / 0.97) 
1220.	 26.2 	 C0 - 3.5 mA	 C3 - 5.5 mA 	 (0.95 / 0.91) 
1221.	 26.2 	 C2 - 1.5 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
1222.	 26.1 	 C0 - 3.0 mA	 C3 - 3.5 mA 	 (0.97 / 0.96) 
1223.	 25.7 	 C2 - 2.0 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
1224.	 25.6 	 C0 - 2.5 mA	 C2 - 1.5 mA 	 (0.98 / 1.00) 
1225.	 25.3 	 C1 - 2.0 mA	 C3 - 5.5 mA 	 (1.00 / 0.91) 
1226.	 24.9 	 C0 - 1.5 mA	 C3 - 2.0 mA 	 (0.99 / 1.00) 
1227.	 24.9 	 C2 - 2.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.95) 
1228.	 24.7 	 C0 - 2.5 mA	 C2 - 5.0 mA 	 (0.98 / 1.00) 
1229.	 24.7 	 C2 - 2.5 mA	 C3 - 5.5 mA 	 (1.00 / 0.91) 
1230.	 24.6 	 C0 - 2.5 mA	 C2 - 5.5 mA 	 (0.98 / 1.00) 
1231.	 23.3 	 C0 - 3.0 mA	 C3 - 4.0 mA 	 (0.97 / 0.95) 
1232.	 23.2 	 C0 - 3.0 mA	 C2 - 2.5 mA 	 (0.97 / 1.00) 
1233.	 22.7 	 C0 - 2.5 mA	 C3 - 3.0 mA 	 (0.98 / 0.97) 
1234.	 22.1 	 C0 - 3.0 mA	 C2 - 3.0 mA 	 (0.97 / 1.00) 
1235.	 21.6 	 C1 - 1.5 mA	 C3 - 3.5 mA 	 (1.00 / 0.96) 
1236.	 21.6 	 C0 - 2.5 mA	 C2 - 4.5 mA 	 (0.98 / 1.00) 
1237.	 20.4 	 C2 - 2.0 mA	 C3 - 4.5 mA 	 (1.00 / 0.93) 
1238.	 20.3 	 C2 - 1.5 mA	 C3 - 3.5 mA 	 (1.00 / 0.96) 
1239.	 19.4 	 C0 - 2.0 mA	 C3 - 2.5 mA 	 (0.99 / 0.99) 
1240.	 19.2 	 C0 - 3.0 mA	 C3 - 4.5 mA 	 (0.97 / 0.93) 
1241.	 18.4 	 C2 - 1.5 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
1242.	 18.3 	 C2 - 2.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.92) 
1243.	 18.1 	 C1 - 1.5 mA	 C3 - 4.0 mA 	 (1.00 / 0.95) 
1244.	 17.7 	 C0 - 3.0 mA	 C3 - 5.0 mA 	 (0.97 / 0.92) 
1245.	 17.6 	 C0 - 2.5 mA	 C3 - 3.5 mA 	 (0.98 / 0.96) 
1246.	 16.9 	 C2 - 1.5 mA	 C3 - 4.0 mA 	 (1.00 / 0.95) 
1247.	 16.8 	 C2 - 1.5 mA	 C2 - 2.5 mA 	 (1.00 / 1.00) 
1248.	 16.6 	 C1 - 1.5 mA	 C2 - 2.5 mA 	 (1.00 / 1.00) 
1249.	 16.5 	 C1 - 1.5 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
1250.	 16.0 	 C2 - 2.0 mA	 C3 - 5.5 mA 	 (1.00 / 0.91) 
1251.	 15.7 	 C0 - 3.0 mA	 C3 - 5.5 mA 	 (0.97 / 0.91) 
1252.	 14.9 	 C0 - 2.5 mA	 C3 - 4.0 mA 	 (0.98 / 0.95) 
1253.	 14.8 	 C0 - 1.5 mA	 C2 - 4.0 mA 	 (0.99 / 1.00) 
1254.	 13.6 	 C0 - 1.5 mA	 C3 - 2.5 mA 	 (0.99 / 0.99) 
1255.	 12.9 	 C1 - 1.5 mA	 C3 - 4.5 mA 	 (1.00 / 0.93) 
1256.	 12.6 	 C0 - 2.5 mA	 C2 - 2.0 mA 	 (0.98 / 1.00) 
1257.	 11.8 	 C0 - 2.0 mA	 C3 - 3.0 mA 	 (0.99 / 0.97) 
1258.	 11.8 	 C2 - 1.5 mA	 C3 - 4.5 mA 	 (1.00 / 0.93) 
1259.	 11.6 	 C0 - 2.5 mA	 C2 - 3.5 mA 	 (0.98 / 1.00) 
1260.	 10.9 	 C1 - 1.5 mA	 C3 - 5.0 mA 	 (1.00 / 0.92) 
1261.	 10.6 	 C0 - 2.5 mA	 C3 - 4.5 mA 	 (0.98 / 0.93) 
1262.	 10.0 	 C0 - 2.0 mA	 C2 - 4.0 mA 	 (0.99 / 1.00) 
1263.	 9.7 	 C2 - 1.5 mA	 C3 - 5.0 mA 	 (1.00 / 0.92) 
1264.	 9.2 	 C0 - 2.5 mA	 C3 - 5.0 mA 	 (0.98 / 0.92) 
1265.	 8.5 	 C1 - 1.5 mA	 C3 - 5.5 mA 	 (1.00 / 0.91) 
1266.	 7.4 	 C2 - 1.5 mA	 C3 - 5.5 mA 	 (1.00 / 0.91) 
1267.	 7.3 	 C0 - 2.5 mA	 C3 - 5.5 mA 	 (0.98 / 0.91) 
1268.	 6.6 	 C0 - 2.0 mA	 C2 - 5.5 mA 	 (0.99 / 1.00) 
1269.	 6.4 	 C0 - 2.0 mA	 C3 - 3.5 mA 	 (0.99 / 0.96) 
1270.	 6.2 	 C0 - 2.0 mA	 C2 - 5.0 mA 	 (0.99 / 1.00) 
1271.	 5.3 	 C0 - 1.5 mA	 C2 - 4.5 mA 	 (0.99 / 1.00) 
1272.	 5.1 	 C0 - 1.5 mA	 C3 - 3.0 mA 	 (0.99 / 0.97) 
1273.	 3.8 	 C0 - 2.0 mA	 C3 - 4.0 mA 	 (0.99 / 0.95) 
1274.	 3.2 	 C0 - 2.0 mA	 C2 - 4.5 mA 	 (0.99 / 1.00) 
1275.	 3.2 	 C0 - 2.0 mA	 C2 - 1.5 mA 	 (0.99 / 1.00) 
1276.	 2.1 	 C0 - 2.5 mA	 C2 - 2.5 mA 	 (0.98 / 1.00) 
1277.	 2.1 	 C0 - 2.5 mA	 C2 - 3.0 mA 	 (0.98 / 1.00) 
1278.	 1.3 	 C0 - 1.5 mA	 C2 - 5.0 mA 	 (0.99 / 1.00) 
1279.	 0.6 	 C0 - 1.5 mA	 C2 - 3.5 mA 	 (0.99 / 1.00) 
1280.	 -0.7 	 C0 - 1.5 mA	 C3 - 3.5 mA 	 (0.99 / 0.96) 
1281.	 -0.8 	 C0 - 2.0 mA	 C3 - 4.5 mA 	 (0.99 / 0.93) 
1282.	 -1.2 	 C0 - 1.5 mA	 C2 - 5.5 mA 	 (0.99 / 1.00) 
1283.	 -1.9 	 C0 - 2.0 mA	 C3 - 5.0 mA 	 (0.99 / 0.92) 
1284.	 -3.2 	 C0 - 1.5 mA	 C3 - 4.0 mA 	 (0.99 / 0.95) 
1285.	 -3.7 	 C0 - 2.0 mA	 C3 - 5.5 mA 	 (0.99 / 0.91) 
1286.	 -5.0 	 C0 - 1.5 mA	 C2 - 1.5 mA 	 (0.99 / 1.00) 
1287.	 -6.3 	 C0 - 2.0 mA	 C2 - 3.5 mA 	 (0.99 / 1.00) 
1288.	 -8.0 	 C0 - 1.5 mA	 C3 - 4.5 mA 	 (0.99 / 0.93) 
1289.	 -8.8 	 C0 - 1.5 mA	 C3 - 5.0 mA 	 (0.99 / 0.92) 
1290.	 -9.2 	 C0 - 1.5 mA	 C2 - 3.0 mA 	 (0.99 / 1.00) 
1291.	 -10.4 	 C0 - 1.5 mA	 C3 - 5.5 mA 	 (0.99 / 0.91) 
1292.	 -12.0 	 C0 - 2.0 mA	 C2 - 2.0 mA 	 (0.99 / 1.00) 
1293.	 -12.3 	 C0 - 1.5 mA	 C2 - 2.0 mA 	 (0.99 / 1.00) 
1294.	 -14.2 	 C0 - 1.5 mA	 C2 - 2.5 mA 	 (0.99 / 1.00) 
1295.	 -17.1 	 C0 - 2.0 mA	 C2 - 3.0 mA 	 (0.99 / 1.00) 
1296.	 -20.0 	 C0 - 2.0 mA	 C2 - 2.5 mA 	 (0.99 / 1.00) 
